City,month_depart,minPrice,maxPrice,meanPrice
Castellón de la Plana,4,92.67,92.67,92.67
Nápoles,3,92.71,92.71,92.71
Bristol,3,92.67,92.89,92.78
Palma de Maiorca,9,93.58,93.58,93.58
Bari,6,93.96,94.34,94.096
Nice,6,56.07,105.76,94.303
Memmingen,6,94.5,94.54,94.52000000000001
Nice,2,60.79,260.67,94.59
Berlim,2,89.15,100.22,94.7225
Marraquexe,1,64.25,119.53,95.03333333333335
Breslavia,3,70.65,170.1,95.55250000000001
Hamburgo,3,87.5,116.57,96.28615384615385
Lajes,6,82.9,105.44,96.32000000000001
Catânia,2,96.34,96.38,96.35333333333334
Mahón,3,96.5,96.5,96.5
Porto Santo,9,72.77,144.04,96.52666666666666
Luxemburgo,4,96.54,96.54,96.54
Châlons-en-Champagne,4,89.15,109.44,96.864
Fes,2,66.98,143.46,96.88529411764706
Viena,4,88.08,110.36,97.034
Bucareste,5,97.25,97.48,97.32666666666667
Sevilha,1,97.42,97.42,97.42
Frankfurt,1,97.63,97.63,97.63
Palma de Maiorca,10,97.63,97.63,97.63
Gotemburgo,1,97.63,97.64,97.63333333333333
Lajes,9,92.87,102.98,97.92500000000001
Tirana,3,98.21,98.21,98.21
Basileia,2,65.26,140.71,98.25500000000001
Memmingen,4,98.17,98.38,98.28999999999999
Ibiza,1,98.34,98.34,98.34
Puerto del Rosario,2,70.93,113.82,98.38
Veneza,1,99.13,99.13,99.13
Zagreb,1,99.26,99.48,99.33333333333333
Granada,5,99.26,99.48,99.33333333333333
Palermo,7,89.03,102.8,99.3475
Sevilha,6,82.12,109.79,99.522
Berlim,3,90.27,119.48,99.53
Cracóvia,3,68.98,173.17,99.84916666666668
Vigo,7,100.01,100.24,100.08666666666666
Trapani,2,100.01,100.22,100.09285714285714
Palermo,2,77.25,109.44,100.44
Bolonha,5,66.09,138.84,100.47666666666667
Catânia,5,91.19,110.33,100.75
Mahón,4,100.97,100.97,100.97
Bolonha,4,64.23,199.52,101.85555555555555
Bolonha,2,63.56,209.27,101.87444444444445
Alicante,7,98.34,105.69,102.015
Glasgow,7,102.02,102.06,102.02799999999999
Billund,2,75.24,172.24,102.24714285714286
Marraquexe,6,81.98,135.03,102.33099999999999
Viena,5,97.25,107.58,102.41499999999999
Nápoles,7,70.68,113.09,102.48750000000001
Mahón,2,84.45,110.54,102.694
Praga,3,66.22,132.63,102.70764705882353
Bari,4,68.06,142.51,103.34125
Praga,2,87.2,120.45,103.825
Breslavia,1,100.05,116.57,104.17999999999999
Nápoles,4,92.11,132.43,104.266
Berlim,1,104.64,104.64,104.64
Nápoles,1,104.77,104.77,104.77
Nuremberga,4,104.77,105.0,104.84666666666665
Pisa,5,105.51,105.56,105.535
Tallin,1,105.56,105.56,105.56
Veneza,2,99.48,111.06,105.7188888888889
Bilbau,2,76.32,114.04,105.72875
Karlsruhe,2,81.83,144.1,105.75937499999999
Zurique,2,105.76,105.76,105.76
Munique,3,105.92,105.93,105.92333333333333
Copenhaga,5,106.47,106.66,106.59666666666665
Bari,5,62.42,128.72,106.62
Castellón de la Plana,7,82.58,127.8,106.72533333333332
Roma,6,104.09,110.72,107.657
Châlons-en-Champagne,2,78.91,122.29,107.755
Mahón,6,101.33,129.87,107.91923076923078
Shannon,4,108.26,108.52,108.43333333333334
Frankfurt,4,96.56,124.13,108.43666666666667
Munique,5,108.45,108.45,108.45
Bruxelas,6,104.09,133.56,108.479
Brindisi,2,105.51,110.33,108.53181818181817
Lodz,3,109.18,109.41,109.29125
Trapani,3,109.18,109.44,109.31
Bremen,4,109.18,109.44,109.31
Tallin,3,106.84,113.12,109.63222222222223
Zagreb,3,77.07,129.42,111.0
Lille,2,111.06,111.06,111.06
Veneza,6,111.46,111.91,111.622
Cork,5,112.2,112.2,112.2
Trieste,3,112.37,112.37,112.37
Praga,7,112.38,112.38,112.38
Genebra,4,113.09,113.09,113.09
Amesterdão,10,109.37,125.27,113.25333333333333
Munique,6,111.28,117.9,113.48666666666668
Bergerac,1,28.46,156.59,113.87666666666667
Hamburgo,2,114.04,114.04,114.04
Olbia,5,114.21,114.21,114.21
Arrecife,1,114.21,114.22,114.215
Bilbau,6,114.22,114.68,114.37272727272726
Puerto del Rosario,5,106.47,157.22,114.4057142857143
Nantes,7,114.96,114.96,114.96
Sófia,5,116.52,116.8,116.61333333333333
Algueiro,3,116.52,116.8,116.70666666666666
Corvera,5,116.98,116.98,116.98
Atenas,3,69.85,173.4,117.51400000000001
Brno,3,117.44,117.72,117.5225
Pisa,4,117.44,117.72,117.58
Billund,5,75.53,147.78,117.78000000000002
Nápoles,6,65.3,144.28,117.81636363636363
Viena,2,117.9,117.9,117.9
Amesterdão,11,117.9,117.91,117.905
Atenas,2,105.69,139.09,117.91454545454545
Berlim,5,110.33,134.24,118.3
Clermont-Ferrand,4,92.83,140.71,118.61615384615385
Santiago de Compostela,2,75.54,125.99,118.82789473684211
Lamezia Terme,2,118.83,118.83,118.83
Astúrias,2,113.77,175.54,119.50818181818181
Tirana,11,119.48,119.74,119.65333333333332
Algueiro,2,119.32,121.37,119.9375
Berlim,6,109.62,137.24,120.21428571428571
Praga,8,120.19,120.24,120.22333333333331
Glasgow,3,120.24,120.24,120.24
Lajes,7,120.45,120.45,120.45
